DEPARTAMENTO,MUNICIPIO,TOTAL,URBANO,RURAL
USULUTÁN,Santiago de Maria,18201,9690,7706
USULUTÁN,Tecapán,7697,4041,1907
USULUTÁN,Usulután,73064,39170,27859
SAN MIGUEL,Carolina,8240,4338,653
SAN MIGUEL,Chapeltique,10728,5756,1303
SAN MIGUEL,Chinameca,22311,11773,3404
SAN MIGUEL,Chirilagua,19984,10469,1653
SAN MIGUEL,Ciudad Barrios,24817,12499,3958
SAN MIGUEL,Comacarán,3199,1658,237
SAN MIGUEL,El Transito,18363,9779,4185
SAN MIGUEL,Lolotique,14916,7779,2306
SAN MIGUEL,Moncagua,22659,11995,3449
SAN MIGUEL,Nueva Guadalupe,8905,4742,2753
SAN MIGUEL,Nuevo Edén de San Juan,4034,2120,294
SAN MIGUEL,Quelepa,4049,2129,1252
SAN MIGUEL,San Antonio,5304,2735,235
SAN MIGUEL,San Gerardo,5986,3355,571
SAN MIGUEL,San Jorge,9115,4828,1444
SAN MIGUEL,San Luís de La Reina,5637,3034,594
SAN MIGUEL,San Miguel,218410,118738,87004
SAN MIGUEL,San Rafael Oriente,13290,7166,3129
SAN MIGUEL,Sesori,10705,5630,591
SAN MIGUEL,Uluazapa,3351,1805,703
MORAZÁN,Arambala,1821,958,142
MORAZÁN,Cacaopera,10943,5702,597
MORAZÁN,Chilanga,9700,5286,698
MORAZÁN,Corinto,15410,8152,1848
MORAZÁN,Delicias de Concepción,5076,2664,1107
MORAZÁN,El Divisadero,7617,4045,430
MORAZÁN,El Rosario,1339,683,237
MORAZÁN,Gualococti,3650,1842,471
MORAZÁN,Guatajiagua,11721,6225,2074
MORAZÁN,Joateca,4210,2178,434
MORAZÁN,Jocoaitique,2877,1474,428
MORAZÁN,Jocoro,10060,5394,1655
MORAZÁN,Lolotiquillo,4915,2655,578
MORAZÁN,Meanguera,7818,4084,834
MORAZÁN,Osicala,8909,4674,1095
MORAZÁN,Perquín,3158,1710,97
MORAZÁN,San Carlos,4172,2194,563
MORAZÁN,San Fernando,1708,900,123
MORAZÁN,San Francisco Gotera,21049,11135,8367
MORAZÁN,San Isidro,2804,1469,383
MORAZÁN,San Simón,10102,5212,818
MORAZÁN,Sensembra,2940,1597,435
MORAZÁN,Sociedad,11406,5967,606
MORAZÁN,Torola,3042,1503,120
MORAZÁN,Yamabal,4346,2283,304
MORAZÁN,Yoloaiquín,3613,1967,372
LA UNIÓN,Anamoros,14551,7800,1000
LA UNIÓN,Bolívar,4215,2278,302
LA UNIÓN,Concepción de Oriente,8179,4562,543
LA UNIÓN,Conchagua,37362,19341,8804
LA UNIÓN,El Carmen,12324,6444,945
LA UNIÓN,El Sauce,6546,3567,495
LA UNIÓN,Intipucá,7567,3929,1527
LA UNIÓN,La Unión,34045,17952,9654
LA UNIÓN,Lislique,13385,7065,372
LA UNIÓN,Meanguera del Golfo,2398,1274,246
LA UNIÓN,Nueva Esparta,9637,5185,724
LA UNIÓN,Pasaquina,16375,8814,1988
LA UNIÓN,Polorós,9701,5373,554
LA UNIÓN,San Alejo,17598,9478,1710
LA UNIÓN,San José,2971,1571,445
LA UNIÓN,Santa Rosa de Lima,27693,14848,7369
LA UNIÓN,Yayantique,6871,3709,1562
LA UNIÓN,Yucuaiquín,6799,3740,688
